 15:54:12 up 1 day,  2:42,  1 user,  load average: 0.00, 0.02, 0.00
 15:55:02 up 1 day,  2:43,  1 user,  load average: 1.16, 0.34, 0.11
 15:55:03 up 1 day,  2:43,  1 user,  load average: 1.16, 0.34, 0.11
 15:55:04 up 1 day,  2:43,  1 user,  load average: 1.16, 0.34, 0.11
 15:55:05 up 1 day,  2:43,  1 user,  load average: 1.16, 0.34, 0.11
 15:55:06 up 1 day,  2:43,  1 user,  load average: 1.78, 0.49, 0.16
 15:55:07 up 1 day,  2:43,  1 user,  load average: 1.78, 0.49, 0.16
 15:55:08 up 1 day,  2:43,  1 user,  load average: 1.78, 0.49, 0.16
 15:55:09 up 1 day,  2:43,  1 user,  load average: 1.78, 0.49, 0.16
 15:55:10 up 1 day,  2:43,  1 user,  load average: 1.78, 0.49, 0.16
 15:55:11 up 1 day,  2:43,  1 user,  load average: 1.88, 0.53, 0.17
 15:55:12 up 1 day,  2:43,  1 user,  load average: 1.88, 0.53, 0.17
 15:55:13 up 1 day,  2:43,  1 user,  load average: 1.88, 0.53, 0.17
 15:55:14 up 1 day,  2:43,  1 user,  load average: 1.88, 0.53, 0.17
 15:55:15 up 1 day,  2:43,  1 user,  load average: 1.88, 0.53, 0.17
 15:55:16 up 1 day,  2:43,  1 user,  load average: 2.05, 0.59, 0.19
 15:55:17 up 1 day,  2:43,  1 user,  load average: 2.05, 0.59, 0.19
 15:55:18 up 1 day,  2:43,  1 user,  load average: 2.05, 0.59, 0.19
 15:55:19 up 1 day,  2:44,  1 user,  load average: 2.05, 0.59, 0.19
 15:55:20 up 1 day,  2:44,  1 user,  load average: 2.05, 0.61, 0.20
 15:55:21 up 1 day,  2:44,  1 user,  load average: 2.05, 0.61, 0.20
 15:55:22 up 1 day,  2:44,  1 user,  load average: 2.05, 0.61, 0.20
 15:55:23 up 1 day,  2:44,  1 user,  load average: 2.05, 0.61, 0.20
 15:55:24 up 1 day,  2:44,  1 user,  load average: 2.05, 0.61, 0.20
 15:55:25 up 1 day,  2:44,  1 user,  load average: 2.04, 0.63, 0.21
 15:55:26 up 1 day,  2:44,  1 user,  load average: 2.04, 0.63, 0.21
 15:55:27 up 1 day,  2:44,  1 user,  load average: 2.04, 0.63, 0.21
 15:55:28 up 1 day,  2:44,  1 user,  load average: 2.04, 0.63, 0.21
 15:55:29 up 1 day,  2:44,  1 user,  load average: 2.04, 0.63, 0.21
 15:55:30 up 1 day,  2:44,  1 user,  load average: 2.28, 0.71, 0.24
 15:55:31 up 1 day,  2:44,  1 user,  load average: 2.28, 0.71, 0.24
 15:55:32 up 1 day,  2:44,  1 user,  load average: 2.28, 0.71, 0.24
 15:55:33 up 1 day,  2:44,  1 user,  load average: 2.28, 0.71, 0.24
 15:55:34 up 1 day,  2:44,  1 user,  load average: 2.28, 0.71, 0.24
 15:55:35 up 1 day,  2:44,  1 user,  load average: 2.34, 0.74, 0.25
 15:55:36 up 1 day,  2:44,  1 user,  load average: 2.34, 0.74, 0.25
 15:55:37 up 1 day,  2:44,  1 user,  load average: 2.34, 0.74, 0.25
 15:55:38 up 1 day,  2:44,  1 user,  load average: 2.34, 0.74, 0.25
 15:55:39 up 1 day,  2:44,  1 user,  load average: 2.34, 0.74, 0.25
 15:55:40 up 1 day,  2:44,  1 user,  load average: 2.55, 0.81, 0.28
 15:55:41 up 1 day,  2:44,  1 user,  load average: 2.55, 0.81, 0.28
 15:55:42 up 1 day,  2:44,  1 user,  load average: 2.55, 0.81, 0.28
 15:55:43 up 1 day,  2:44,  1 user,  load average: 2.55, 0.81, 0.28
 15:55:44 up 1 day,  2:44,  1 user,  load average: 2.55, 0.81, 0.28
 15:55:45 up 1 day,  2:44,  1 user,  load average: 3.07, 0.95, 0.33
 15:55:46 up 1 day,  2:44,  1 user,  load average: 3.07, 0.95, 0.33
 15:55:47 up 1 day,  2:44,  1 user,  load average: 3.07, 0.95, 0.33
 15:55:48 up 1 day,  2:44,  1 user,  load average: 3.07, 0.95, 0.33
 15:55:49 up 1 day,  2:44,  1 user,  load average: 3.07, 0.95, 0.33
 15:55:50 up 1 day,  2:44,  1 user,  load average: 3.54, 1.08, 0.37
 15:55:51 up 1 day,  2:44,  1 user,  load average: 3.54, 1.08, 0.37
 15:55:52 up 1 day,  2:44,  1 user,  load average: 3.54, 1.08, 0.37
 15:55:53 up 1 day,  2:44,  1 user,  load average: 3.54, 1.08, 0.37
 15:55:54 up 1 day,  2:44,  1 user,  load average: 3.54, 1.08, 0.37
 15:55:55 up 1 day,  2:44,  1 user,  load average: 3.90, 1.20, 0.42
 15:55:56 up 1 day,  2:44,  1 user,  load average: 3.90, 1.20, 0.42
 15:55:57 up 1 day,  2:44,  1 user,  load average: 3.90, 1.20, 0.42
 15:55:58 up 1 day,  2:44,  1 user,  load average: 3.90, 1.20, 0.42
 15:55:59 up 1 day,  2:44,  1 user,  load average: 3.90, 1.20, 0.42
 15:56:00 up 1 day,  2:44,  1 user,  load average: 3.83, 1.23, 0.43
 15:56:01 up 1 day,  2:44,  1 user,  load average: 3.83, 1.23, 0.43
 15:56:02 up 1 day,  2:44,  1 user,  load average: 3.83, 1.23, 0.43
 15:56:03 up 1 day,  2:44,  1 user,  load average: 3.83, 1.23, 0.43
 15:56:04 up 1 day,  2:44,  1 user,  load average: 3.83, 1.23, 0.43
 15:56:05 up 1 day,  2:44,  1 user,  load average: 4.08, 1.33, 0.47
 15:56:06 up 1 day,  2:44,  1 user,  load average: 4.08, 1.33, 0.47
 15:56:07 up 1 day,  2:44,  1 user,  load average: 4.08, 1.33, 0.47
 15:56:08 up 1 day,  2:44,  1 user,  load average: 4.08, 1.33, 0.47
 15:56:09 up 1 day,  2:44,  1 user,  load average: 4.08, 1.33, 0.47
 15:56:10 up 1 day,  2:44,  1 user,  load average: 3.84, 1.32, 0.47
 15:56:11 up 1 day,  2:44,  1 user,  load average: 3.84, 1.32, 0.47
 15:56:12 up 1 day,  2:44,  1 user,  load average: 3.84, 1.32, 0.47
 15:56:13 up 1 day,  2:44,  1 user,  load average: 3.84, 1.32, 0.47
 15:56:14 up 1 day,  2:44,  1 user,  load average: 3.84, 1.32, 0.47
 15:56:15 up 1 day,  2:44,  1 user,  load average: 4.01, 1.40, 0.50
 15:56:16 up 1 day,  2:44,  1 user,  load average: 4.01, 1.40, 0.50
 15:56:17 up 1 day,  2:44,  1 user,  load average: 4.01, 1.40, 0.50
 15:56:18 up 1 day,  2:44,  1 user,  load average: 4.01, 1.40, 0.50
 15:56:19 up 1 day,  2:45,  1 user,  load average: 4.01, 1.40, 0.50
 15:56:20 up 1 day,  2:45,  1 user,  load average: 3.93, 1.43, 0.51
 15:56:21 up 1 day,  2:45,  1 user,  load average: 3.93, 1.43, 0.51
 15:56:22 up 1 day,  2:45,  1 user,  load average: 3.93, 1.43, 0.51
 15:56:23 up 1 day,  2:45,  1 user,  load average: 3.93, 1.43, 0.51
 15:56:24 up 1 day,  2:45,  1 user,  load average: 3.93, 1.43, 0.51
 15:56:25 up 1 day,  2:45,  1 user,  load average: 4.09, 1.50, 0.54
 15:56:26 up 1 day,  2:45,  1 user,  load average: 4.09, 1.50, 0.54
 15:56:27 up 1 day,  2:45,  1 user,  load average: 4.09, 1.50, 0.54
 15:56:28 up 1 day,  2:45,  1 user,  load average: 4.09, 1.50, 0.54
 15:56:29 up 1 day,  2:45,  1 user,  load average: 4.09, 1.50, 0.54
 15:56:30 up 1 day,  2:45,  1 user,  load average: 4.25, 1.58, 0.57
 15:56:31 up 1 day,  2:45,  1 user,  load average: 4.25, 1.58, 0.57
 15:56:32 up 1 day,  2:45,  1 user,  load average: 4.25, 1.58, 0.57
 15:56:33 up 1 day,  2:45,  1 user,  load average: 4.25, 1.58, 0.57
 15:56:34 up 1 day,  2:45,  1 user,  load average: 4.25, 1.58, 0.57
 15:56:35 up 1 day,  2:45,  1 user,  load average: 4.23, 1.62, 0.59
 15:56:36 up 1 day,  2:45,  1 user,  load average: 4.23, 1.62, 0.59
 15:56:37 up 1 day,  2:45,  1 user,  load average: 4.23, 1.62, 0.59
 15:56:38 up 1 day,  2:45,  1 user,  load average: 4.23, 1.62, 0.59
 15:56:39 up 1 day,  2:45,  1 user,  load average: 4.23, 1.62, 0.59
 15:56:40 up 1 day,  2:45,  1 user,  load average: 4.21, 1.66, 0.61
 15:56:41 up 1 day,  2:45,  1 user,  load average: 4.21, 1.66, 0.61
 15:56:42 up 1 day,  2:45,  1 user,  load average: 4.21, 1.66, 0.61
 15:56:43 up 1 day,  2:45,  1 user,  load average: 4.21, 1.66, 0.61
 15:56:44 up 1 day,  2:45,  1 user,  load average: 4.21, 1.66, 0.61
 15:56:45 up 1 day,  2:45,  1 user,  load average: 3.95, 1.65, 0.61
 15:56:46 up 1 day,  2:45,  1 user,  load average: 3.95, 1.65, 0.61
 15:56:47 up 1 day,  2:45,  1 user,  load average: 3.95, 1.65, 0.61
 15:56:48 up 1 day,  2:45,  1 user,  load average: 3.95, 1.65, 0.61
 15:56:49 up 1 day,  2:45,  1 user,  load average: 3.95, 1.65, 0.61
 15:56:50 up 1 day,  2:45,  1 user,  load average: 4.04, 1.70, 0.63
 15:56:51 up 1 day,  2:45,  1 user,  load average: 4.04, 1.70, 0.63
 15:56:52 up 1 day,  2:45,  1 user,  load average: 4.04, 1.70, 0.63
 15:56:53 up 1 day,  2:45,  1 user,  load average: 4.04, 1.70, 0.63
 15:56:54 up 1 day,  2:45,  1 user,  load average: 4.04, 1.70, 0.63
 15:56:55 up 1 day,  2:45,  1 user,  load average: 3.95, 1.72, 0.65
 15:56:56 up 1 day,  2:45,  1 user,  load average: 3.95, 1.72, 0.65
 15:56:57 up 1 day,  2:45,  1 user,  load average: 3.95, 1.72, 0.65
 15:56:58 up 1 day,  2:45,  1 user,  load average: 3.95, 1.72, 0.65
 15:56:59 up 1 day,  2:45,  1 user,  load average: 3.95, 1.72, 0.65
 15:57:00 up 1 day,  2:45,  1 user,  load average: 3.80, 1.73, 0.66
 15:57:01 up 1 day,  2:45,  1 user,  load average: 3.80, 1.73, 0.66
 15:57:02 up 1 day,  2:45,  1 user,  load average: 3.80, 1.73, 0.66
 15:57:03 up 1 day,  2:45,  1 user,  load average: 3.80, 1.73, 0.66
 15:57:04 up 1 day,  2:45,  1 user,  load average: 3.80, 1.73, 0.66
 15:57:05 up 1 day,  2:45,  1 user,  load average: 3.73, 1.75, 0.67
 15:57:06 up 1 day,  2:45,  1 user,  load average: 3.73, 1.75, 0.67
 15:57:07 up 1 day,  2:45,  1 user,  load average: 3.73, 1.75, 0.67
 15:57:08 up 1 day,  2:45,  1 user,  load average: 3.73, 1.75, 0.67
 15:57:09 up 1 day,  2:45,  1 user,  load average: 3.73, 1.75, 0.67
 15:57:10 up 1 day,  2:45,  1 user,  load average: 3.91, 1.82, 0.70
 15:57:11 up 1 day,  2:45,  1 user,  load average: 3.91, 1.82, 0.70
 15:57:12 up 1 day,  2:45,  1 user,  load average: 3.91, 1.82, 0.70
 15:57:13 up 1 day,  2:45,  1 user,  load average: 3.91, 1.82, 0.70
 15:57:14 up 1 day,  2:45,  1 user,  load average: 3.91, 1.82, 0.70
 15:57:15 up 1 day,  2:45,  1 user,  load average: 3.76, 1.82, 0.70
 15:57:16 up 1 day,  2:45,  1 user,  load average: 3.76, 1.82, 0.70
 15:57:17 up 1 day,  2:45,  1 user,  load average: 3.76, 1.82, 0.70
 15:57:18 up 1 day,  2:46,  1 user,  load average: 3.76, 1.82, 0.70
 15:57:19 up 1 day,  2:46,  1 user,  load average: 3.76, 1.82, 0.70
 15:57:20 up 1 day,  2:46,  1 user,  load average: 3.86, 1.88, 0.73
 15:57:21 up 1 day,  2:46,  1 user,  load average: 3.86, 1.88, 0.73
 15:57:22 up 1 day,  2:46,  1 user,  load average: 3.86, 1.88, 0.73
 15:57:23 up 1 day,  2:46,  1 user,  load average: 3.86, 1.88, 0.73
 15:57:24 up 1 day,  2:46,  1 user,  load average: 3.86, 1.88, 0.73
 15:57:25 up 1 day,  2:46,  1 user,  load average: 3.63, 1.86, 0.73
 15:57:26 up 1 day,  2:46,  1 user,  load average: 3.63, 1.86, 0.73
 15:57:27 up 1 day,  2:46,  1 user,  load average: 3.63, 1.86, 0.73
 15:57:28 up 1 day,  2:46,  1 user,  load average: 3.63, 1.86, 0.73
 15:57:29 up 1 day,  2:46,  1 user,  load average: 3.63, 1.86, 0.73
 15:57:30 up 1 day,  2:46,  1 user,  load average: 3.42, 1.85, 0.73
 15:57:31 up 1 day,  2:46,  1 user,  load average: 3.42, 1.85, 0.73
 15:57:32 up 1 day,  2:46,  1 user,  load average: 3.42, 1.85, 0.73
 15:57:33 up 1 day,  2:46,  1 user,  load average: 3.42, 1.85, 0.73
 15:57:34 up 1 day,  2:46,  1 user,  load average: 3.42, 1.85, 0.73
 15:57:35 up 1 day,  2:46,  1 user,  load average: 3.23, 1.83, 0.73
 15:57:36 up 1 day,  2:46,  1 user,  load average: 3.23, 1.83, 0.73
 15:57:37 up 1 day,  2:46,  1 user,  load average: 3.23, 1.83, 0.73
 15:57:38 up 1 day,  2:46,  1 user,  load average: 3.23, 1.83, 0.73
 15:57:39 up 1 day,  2:46,  1 user,  load average: 3.23, 1.83, 0.73
 15:57:40 up 1 day,  2:46,  1 user,  load average: 3.21, 1.85, 0.74
 15:57:41 up 1 day,  2:46,  1 user,  load average: 3.21, 1.85, 0.74
 15:57:42 up 1 day,  2:46,  1 user,  load average: 3.21, 1.85, 0.74
 15:57:43 up 1 day,  2:46,  1 user,  load average: 3.21, 1.85, 0.74
 15:57:44 up 1 day,  2:46,  1 user,  load average: 3.21, 1.85, 0.74
 15:57:45 up 1 day,  2:46,  1 user,  load average: 3.91, 2.02, 0.80
 15:57:46 up 1 day,  2:46,  1 user,  load average: 3.91, 2.02, 0.80
 15:57:47 up 1 day,  2:46,  1 user,  load average: 3.91, 2.02, 0.80
 15:57:48 up 1 day,  2:46,  1 user,  load average: 3.91, 2.02, 0.80
 15:57:49 up 1 day,  2:46,  1 user,  load average: 3.91, 2.02, 0.80
 15:57:50 up 1 day,  2:46,  1 user,  load average: 3.76, 2.02, 0.81
 15:57:51 up 1 day,  2:46,  1 user,  load average: 3.76, 2.02, 0.81
 15:57:52 up 1 day,  2:46,  1 user,  load average: 3.76, 2.02, 0.81
 15:57:53 up 1 day,  2:46,  1 user,  load average: 3.76, 2.02, 0.81
 15:57:54 up 1 day,  2:46,  1 user,  load average: 3.76, 2.02, 0.81
 15:57:55 up 1 day,  2:46,  1 user,  load average: 3.70, 2.04, 0.82
 15:57:56 up 1 day,  2:46,  1 user,  load average: 3.70, 2.04, 0.82
 15:57:57 up 1 day,  2:46,  1 user,  load average: 3.70, 2.04, 0.82
 15:57:58 up 1 day,  2:46,  1 user,  load average: 3.70, 2.04, 0.82
 15:57:59 up 1 day,  2:46,  1 user,  load average: 3.70, 2.04, 0.82
 15:58:00 up 1 day,  2:46,  1 user,  load average: 3.56, 2.04, 0.83
 15:58:01 up 1 day,  2:46,  1 user,  load average: 3.56, 2.04, 0.83
 15:58:02 up 1 day,  2:46,  1 user,  load average: 3.56, 2.04, 0.83
 15:58:03 up 1 day,  2:46,  1 user,  load average: 3.56, 2.04, 0.83
 15:58:04 up 1 day,  2:46,  1 user,  load average: 3.56, 2.04, 0.83
 15:58:05 up 1 day,  2:46,  1 user,  load average: 4.00, 2.15, 0.87
 15:58:06 up 1 day,  2:46,  1 user,  load average: 4.00, 2.15, 0.87
 15:58:07 up 1 day,  2:46,  1 user,  load average: 4.00, 2.15, 0.87
 15:58:08 up 1 day,  2:46,  1 user,  load average: 4.00, 2.15, 0.87
 15:58:09 up 1 day,  2:46,  1 user,  load average: 4.00, 2.15, 0.87
 15:58:10 up 1 day,  2:46,  1 user,  load average: 3.92, 2.17, 0.89
 15:58:11 up 1 day,  2:46,  1 user,  load average: 3.92, 2.17, 0.89
 15:58:12 up 1 day,  2:46,  1 user,  load average: 3.92, 2.17, 0.89
 15:58:13 up 1 day,  2:46,  1 user,  load average: 3.92, 2.17, 0.89
 15:58:14 up 1 day,  2:46,  1 user,  load average: 3.92, 2.17, 0.89
 15:58:15 up 1 day,  2:46,  1 user,  load average: 3.60, 2.13, 0.88
 15:58:16 up 1 day,  2:46,  1 user,  load average: 3.60, 2.13, 0.88
 15:58:17 up 1 day,  2:46,  1 user,  load average: 3.60, 2.13, 0.88
 15:58:18 up 1 day,  2:47,  1 user,  load average: 3.60, 2.13, 0.88
 15:58:19 up 1 day,  2:47,  1 user,  load average: 3.60, 2.13, 0.88
 15:58:20 up 1 day,  2:47,  1 user,  load average: 3.31, 2.10, 0.88
 15:58:21 up 1 day,  2:47,  1 user,  load average: 3.31, 2.10, 0.88
 15:58:22 up 1 day,  2:47,  1 user,  load average: 3.31, 2.10, 0.88
 15:58:23 up 1 day,  2:47,  1 user,  load average: 3.31, 2.10, 0.88
 15:58:24 up 1 day,  2:47,  1 user,  load average: 3.31, 2.10, 0.88
 15:58:25 up 1 day,  2:47,  1 user,  load average: 3.05, 2.06, 0.87
 15:58:26 up 1 day,  2:47,  1 user,  load average: 3.05, 2.06, 0.87
 15:58:27 up 1 day,  2:47,  1 user,  load average: 3.05, 2.06, 0.87
 15:58:28 up 1 day,  2:47,  1 user,  load average: 3.05, 2.06, 0.87
 15:58:29 up 1 day,  2:47,  1 user,  load average: 3.05, 2.06, 0.87
