 16:33:35 up 1 day,  3:22,  1 user,  load average: 0.35, 1.19, 0.81
 16:34:34 up 1 day,  3:23,  1 user,  load average: 1.34, 1.28, 0.86
 16:34:35 up 1 day,  3:23,  1 user,  load average: 1.34, 1.28, 0.86
 16:34:36 up 1 day,  3:23,  1 user,  load average: 1.34, 1.28, 0.86
 16:34:37 up 1 day,  3:23,  1 user,  load average: 1.56, 1.33, 0.88
 16:34:38 up 1 day,  3:23,  1 user,  load average: 1.56, 1.33, 0.88
 16:34:39 up 1 day,  3:23,  1 user,  load average: 1.56, 1.33, 0.88
 16:34:40 up 1 day,  3:23,  1 user,  load average: 1.56, 1.33, 0.88
 16:34:41 up 1 day,  3:23,  1 user,  load average: 1.56, 1.33, 0.88
 16:34:42 up 1 day,  3:23,  1 user,  load average: 1.67, 1.36, 0.89
 16:34:43 up 1 day,  3:23,  1 user,  load average: 1.67, 1.36, 0.89
 16:34:44 up 1 day,  3:23,  1 user,  load average: 1.67, 1.36, 0.89
 16:34:45 up 1 day,  3:23,  1 user,  load average: 1.67, 1.36, 0.89
 16:34:46 up 1 day,  3:23,  1 user,  load average: 1.67, 1.36, 0.89
 16:34:47 up 1 day,  3:23,  1 user,  load average: 1.78, 1.38, 0.90
 16:34:48 up 1 day,  3:23,  1 user,  load average: 1.78, 1.38, 0.90
 16:34:49 up 1 day,  3:23,  1 user,  load average: 1.78, 1.38, 0.90
 16:34:50 up 1 day,  3:23,  1 user,  load average: 1.78, 1.38, 0.90
 16:34:51 up 1 day,  3:23,  1 user,  load average: 1.78, 1.38, 0.90
 16:34:52 up 1 day,  3:23,  1 user,  load average: 2.04, 1.44, 0.93
 16:34:53 up 1 day,  3:23,  1 user,  load average: 2.04, 1.44, 0.93
 16:34:54 up 1 day,  3:23,  1 user,  load average: 2.04, 1.44, 0.93
 16:34:55 up 1 day,  3:23,  1 user,  load average: 2.04, 1.44, 0.93
 16:34:56 up 1 day,  3:23,  1 user,  load average: 2.04, 1.44, 0.93
 16:34:57 up 1 day,  3:23,  1 user,  load average: 2.11, 1.47, 0.94
 16:34:58 up 1 day,  3:23,  1 user,  load average: 2.11, 1.47, 0.94
 16:34:59 up 1 day,  3:23,  1 user,  load average: 2.11, 1.47, 0.94
 16:35:00 up 1 day,  3:23,  1 user,  load average: 2.11, 1.47, 0.94
 16:35:01 up 1 day,  3:23,  1 user,  load average: 2.11, 1.47, 0.94
 16:35:02 up 1 day,  3:23,  1 user,  load average: 2.02, 1.46, 0.94
 16:35:03 up 1 day,  3:23,  1 user,  load average: 2.02, 1.46, 0.94
 16:35:04 up 1 day,  3:23,  1 user,  load average: 2.02, 1.46, 0.94
 16:35:05 up 1 day,  3:23,  1 user,  load average: 2.02, 1.46, 0.94
 16:35:06 up 1 day,  3:23,  1 user,  load average: 2.02, 1.46, 0.94
 16:35:07 up 1 day,  3:23,  1 user,  load average: 2.10, 1.49, 0.95
 16:35:08 up 1 day,  3:23,  1 user,  load average: 2.10, 1.49, 0.95
 16:35:09 up 1 day,  3:23,  1 user,  load average: 2.10, 1.49, 0.95
 16:35:10 up 1 day,  3:23,  1 user,  load average: 2.10, 1.49, 0.95
 16:35:11 up 1 day,  3:23,  1 user,  load average: 2.10, 1.49, 0.95
 16:35:12 up 1 day,  3:23,  1 user,  load average: 2.01, 1.48, 0.95
 16:35:13 up 1 day,  3:23,  1 user,  load average: 2.01, 1.48, 0.95
 16:35:14 up 1 day,  3:23,  1 user,  load average: 2.01, 1.48, 0.95
 16:35:15 up 1 day,  3:23,  1 user,  load average: 2.01, 1.48, 0.95
 16:35:16 up 1 day,  3:23,  1 user,  load average: 2.01, 1.48, 0.95
 16:35:17 up 1 day,  3:23,  1 user,  load average: 2.01, 1.49, 0.96
 16:35:18 up 1 day,  3:24,  1 user,  load average: 2.01, 1.49, 0.96
 16:35:19 up 1 day,  3:24,  1 user,  load average: 2.01, 1.49, 0.96
 16:35:20 up 1 day,  3:24,  1 user,  load average: 2.01, 1.49, 0.96
 16:35:21 up 1 day,  3:24,  1 user,  load average: 2.01, 1.49, 0.96
 16:35:22 up 1 day,  3:24,  1 user,  load average: 2.01, 1.50, 0.96
 16:35:23 up 1 day,  3:24,  1 user,  load average: 2.01, 1.50, 0.96
 16:35:24 up 1 day,  3:24,  1 user,  load average: 2.01, 1.50, 0.96
 16:35:25 up 1 day,  3:24,  1 user,  load average: 2.01, 1.50, 0.96
 16:35:26 up 1 day,  3:24,  1 user,  load average: 2.01, 1.50, 0.96
 16:35:27 up 1 day,  3:24,  1 user,  load average: 2.01, 1.51, 0.97
 16:35:28 up 1 day,  3:24,  1 user,  load average: 2.01, 1.51, 0.97
 16:35:29 up 1 day,  3:24,  1 user,  load average: 2.01, 1.51, 0.97
 16:35:30 up 1 day,  3:24,  1 user,  load average: 2.01, 1.51, 0.97
 16:35:31 up 1 day,  3:24,  1 user,  load average: 2.01, 1.51, 0.97
 16:35:32 up 1 day,  3:24,  1 user,  load average: 2.09, 1.53, 0.98
 16:35:33 up 1 day,  3:24,  1 user,  load average: 2.09, 1.53, 0.98
 16:35:34 up 1 day,  3:24,  1 user,  load average: 2.09, 1.53, 0.98
 16:35:35 up 1 day,  3:24,  1 user,  load average: 2.09, 1.53, 0.98
 16:35:36 up 1 day,  3:24,  1 user,  load average: 2.09, 1.53, 0.98
 16:35:37 up 1 day,  3:24,  1 user,  load average: 2.08, 1.54, 0.99
 16:35:38 up 1 day,  3:24,  1 user,  load average: 2.08, 1.54, 0.99
 16:35:39 up 1 day,  3:24,  1 user,  load average: 2.08, 1.54, 0.99
 16:35:40 up 1 day,  3:24,  1 user,  load average: 2.08, 1.54, 0.99
 16:35:41 up 1 day,  3:24,  1 user,  load average: 2.08, 1.54, 0.99
 16:35:42 up 1 day,  3:24,  1 user,  load average: 2.00, 1.53, 0.99
 16:35:43 up 1 day,  3:24,  1 user,  load average: 2.00, 1.53, 0.99
 16:35:44 up 1 day,  3:24,  1 user,  load average: 2.00, 1.53, 0.99
 16:35:45 up 1 day,  3:24,  1 user,  load average: 2.00, 1.53, 0.99
 16:35:46 up 1 day,  3:24,  1 user,  load average: 2.00, 1.53, 0.99
 16:35:48 up 1 day,  3:24,  1 user,  load average: 1.92, 1.52, 0.99
 16:35:49 up 1 day,  3:24,  1 user,  load average: 1.92, 1.52, 0.99
 16:35:50 up 1 day,  3:24,  1 user,  load average: 1.92, 1.52, 0.99
 16:35:51 up 1 day,  3:24,  1 user,  load average: 1.92, 1.52, 0.99
 16:35:52 up 1 day,  3:24,  1 user,  load average: 1.92, 1.52, 0.99
 16:35:53 up 1 day,  3:24,  1 user,  load average: 1.92, 1.53, 0.99
 16:35:54 up 1 day,  3:24,  1 user,  load average: 1.92, 1.53, 0.99
 16:35:55 up 1 day,  3:24,  1 user,  load average: 1.92, 1.53, 0.99
 16:35:56 up 1 day,  3:24,  1 user,  load average: 1.92, 1.53, 0.99
 16:35:57 up 1 day,  3:24,  1 user,  load average: 1.92, 1.53, 0.99
 16:35:58 up 1 day,  3:24,  1 user,  load average: 2.09, 1.57, 1.01
 16:35:59 up 1 day,  3:24,  1 user,  load average: 2.09, 1.57, 1.01
 16:36:00 up 1 day,  3:24,  1 user,  load average: 2.09, 1.57, 1.01
 16:36:01 up 1 day,  3:24,  1 user,  load average: 2.09, 1.57, 1.01
 16:36:02 up 1 day,  3:24,  1 user,  load average: 2.09, 1.57, 1.01
 16:36:03 up 1 day,  3:24,  1 user,  load average: 2.48, 1.66, 1.04
 16:36:04 up 1 day,  3:24,  1 user,  load average: 2.48, 1.66, 1.04
 16:36:05 up 1 day,  3:24,  1 user,  load average: 2.48, 1.66, 1.04
 16:36:06 up 1 day,  3:24,  1 user,  load average: 2.48, 1.66, 1.04
 16:36:07 up 1 day,  3:24,  1 user,  load average: 2.48, 1.66, 1.04
 16:36:08 up 1 day,  3:24,  1 user,  load average: 2.76, 1.73, 1.07
 16:36:09 up 1 day,  3:24,  1 user,  load average: 2.76, 1.73, 1.07
 16:36:10 up 1 day,  3:24,  1 user,  load average: 2.76, 1.73, 1.07
 16:36:11 up 1 day,  3:24,  1 user,  load average: 2.76, 1.73, 1.07
 16:36:12 up 1 day,  3:24,  1 user,  load average: 2.76, 1.73, 1.07
 16:36:13 up 1 day,  3:24,  1 user,  load average: 2.78, 1.75, 1.08
 16:36:14 up 1 day,  3:24,  1 user,  load average: 2.78, 1.75, 1.08
 16:36:15 up 1 day,  3:24,  1 user,  load average: 2.78, 1.75, 1.08
 16:36:16 up 1 day,  3:24,  1 user,  load average: 2.78, 1.75, 1.08
 16:36:17 up 1 day,  3:24,  1 user,  load average: 2.78, 1.75, 1.08
 16:36:18 up 1 day,  3:24,  1 user,  load average: 2.64, 1.74, 1.08
 16:36:19 up 1 day,  3:25,  1 user,  load average: 2.64, 1.74, 1.08
 16:36:20 up 1 day,  3:25,  1 user,  load average: 2.64, 1.74, 1.08
 16:36:21 up 1 day,  3:25,  1 user,  load average: 2.64, 1.74, 1.08
 16:36:22 up 1 day,  3:25,  1 user,  load average: 2.64, 1.74, 1.08
 16:36:23 up 1 day,  3:25,  1 user,  load average: 2.51, 1.73, 1.08
 16:36:24 up 1 day,  3:25,  1 user,  load average: 2.51, 1.73, 1.08
 16:36:25 up 1 day,  3:25,  1 user,  load average: 2.51, 1.73, 1.08
 16:36:26 up 1 day,  3:25,  1 user,  load average: 2.51, 1.73, 1.08
 16:36:27 up 1 day,  3:25,  1 user,  load average: 2.39, 1.72, 1.08
